ID,Name,Description,CLTS_BIPA,CLTS_Name,Lexibank_BIPA,Prosody
0061-0069_n,ai,from unrounded open front to unrounded close front diphthong,ai,ai,a i,n
0061-006f_n,ao,from unrounded open front to rounded close-mid back diphthong,ao,ao,a o,n
0061-0303-006f_n,ão,from nasalized unrounded open front to rounded close-mid back diphthong,ão,ão,a ̃ o,n
0069-0061_m-n,ia,voiced palatal approximant consonant - unrounded open front vowel,ia,ia,i / j   a,m n
0069-0061-0303_m-n,iã,voiced palatal approximant consonant - nasalized unrounded open front vowel,iã,iã,i / j   a ̃,m n
0069-025b_m-n,iɛ,voiced palatal approximant consonant - unrounded open-mid front vowel,iɛ,iɛ,i / j   ɛ,m n
0069-025b-0303_m-n,iɛ̃,voiced palatal approximant consonant - nasalized unrounded open-mid front vowel,iɛ̃,iɛ̃,i / j   ɛ ̃,m n
0069-0254_m-n,iɔ,voiced palatal approximant consonant - rounded open-mid back vowel,iɔ,iɔ,i / j   ɔ,m n
0069-0254-0303_m-n,iɔ̃,voiced palatal approximant consonant - nasalized rounded open-mid back vowel,iɔ̃,iɔ̃,i / j   ɔ ̃,m n
0069-026f_m-n,iɯ,voiced palatal approximant consonant - unrounded close back vowel,iɯ,iɯ,i / j   ɯ,m n
0069-026f-0303_m-n,iɯ̃,voiced palatal approximant consonant - nasalized unrounded close back vowel,iɯ̃,iɯ̃,i / j   ɯ ̃,m n
006f-0075_n,ou,from rounded close-mid back to rounded close back diphthong,ou,ou,o u,n
006f-0303-0075_n,õu,from nasalized rounded close-mid back to rounded close back diphthong,õu,õu,o ̃ u,n
0254-0075_n,ɔu,from rounded open-mid back to rounded close back diphthong,ɔu,ɔu,ɔ u,n
0254-0303-0075_n,ɔ̃u,from nasalized rounded open-mid back to rounded close back diphthong,ɔ̃u,ɔ̃u,ɔ ̃ u,n
0075-0061_m-n,ua,voiced labio-velar approximant consonant - unrounded open front vowel,ua,ua,u / w   a,m n
0075-0061-0303_m-n,uã,voiced labio-velar approximant consonant - nasalized unrounded open front vowel,uã,uã,u / w   a ̃,m n
0075-0065_m-n,ue,voiced labio-velar approximant consonant - unrounded close-mid front vowel,ue,ue,u / w   e,m n
0075-0065-0303_m-n,uẽ,voiced labio-velar approximant consonant - nasalized unrounded close-mid front vowel,uẽ,uẽ,u / w   e ̃,m n
0075-025b_m-n,uɛ,voiced labio-velar approximant consonant - unrounded open-mid front vowel,uɛ,uɛ,u / w   ɛ,m n
0075-025b-0303_m-n,uɛ̃,voiced labio-velar approximant consonant - nasalized unrounded open-mid front vowel,uɛ̃,uɛ̃,u / w   ɛ ̃,m n
0075-0254_m-n,uɔ,voiced labio-velar approximant consonant - rounded open-mid back vowel,uɔ,uɔ,u / w   ɔ,m n
0075-0254-0303_m-n,uɔ̃,voiced labio-velar approximant consonant - nasalized rounded open-mid back vowel,uɔ̃,uɔ̃,u / w   ɔ ̃,m n
0079-025b_m-n,yɛ,voiced labio-palatal approximant consonant - unrounded open-mid front vowel,yɛ,yɛ,y / ɥ   ɛ,m n
0062_i,b,voiced bilabial stop consonant,b,b,b,i
0063_i,c,voiceless palatal stop consonant,c,c,c,i
0063-02b0_i,cʰ,aspirated voiceless palatal stop consonant,cʰ,cʰ,c ʰ,i
0255_i,ɕ,voiceless alveolo-palatal sibilant fricative consonant,ɕ,ɕ,ɕ,i
0255-02b0_i,ɕʰ,aspirated voiceless alveolo-palatal sibilant fricative consonant,ɕʰ,ɕʰ,ɕ ʰ,i
0064_i,d,voiced alveolar stop consonant,d,d,d,i
0064-007a_i,dz,voiced alveolar sibilant affricate consonant,dz,dz,d z,i
0064-0290_i,dʐ,voiced retroflex sibilant affricate consonant,ɖʐ,ɖʐ,ɖ ʐ,i
0064-0291_i,dʑ,voiced alveolo-palatal sibilant affricate consonant,dʑ,dʑ,d ʑ,i
0256_i,ɖ,voiced retroflex stop consonant,ɖ,ɖ,ɖ,i
0066_i,f,voiceless labio-dental fricative consonant,f,f,f,i
0067_i,g,voiced velar stop consonant,g,g,g,i
0263_i,ɣ,voiced velar fricative consonant,ɣ,ɣ,ɣ,i
0281_i,ʁ,voiced uvular fricative consonant,ʁ,ʁ,ʁ,i
006a_i,j,voiced palatal approximant consonant,j,j,j,i
029d_i,ʝ,voiced palatal fricative consonant,ʝ,ʝ,ʝ,i
006b_i,k,voiceless velar stop consonant,k,k,k,i
006b-02b2_i,kʲ,palatalized voiceless velar stop consonant,kʲ,kʲ,k ʲ,i
006b-02b0_i,kʰ,aspirated voiceless velar stop consonant,kʰ,kʰ,k ʰ,i
006b-02b2-02b0_i,kʲʰ,palatalized aspirated voiceless velar stop consonant,kʲʰ,kʲʰ,k ʲ ʰ,i
006c_i,l,voiced alveolar lateral approximant consonant,l,l,l,i
006d_i,m,voiced bilabial nasal consonant,m,m,m,i
006e_i,n,voiced alveolar nasal consonant,n,n,n,i
0235_i,ȵ,voiced alveolo-palatal nasal consonant,ȵ,ȵ,ȵ,i
0274_i,ɴ,voiced uvular nasal consonant,ɴ,ɴ,ɴ,i
0274-0325_i,ɴ̥,devoiced voiced uvular nasal consonant,ɴ̥,ɴ̥,ɴ ̥,i
014b_i,ŋ,voiced velar nasal consonant,ŋ,ŋ,ŋ,i
0070_i,p,voiceless bilabial stop consonant,p,p,p,i
0070-02b0_i,pʰ,aspirated voiceless bilabial stop consonant,pʰ,pʰ,p ʰ,i
0071_i,q,voiceless uvular stop consonant,q,q,q,i
0071-02b0_i,qʰ,aspirated voiceless uvular stop consonant,qʰ,qʰ,q ʰ,i
0073_i,s,voiceless alveolar sibilant fricative consonant,s,s,s,i
0283_i,ʃ,voiceless post-alveolar sibilant fricative consonant,ʃ,ʃ,ʃ,i
0073-02b0_i,sʰ,aspirated voiceless alveolar sibilant fricative consonant,sʰ,sʰ,s ʰ,i
0282_i,ʂ,voiceless retroflex sibilant fricative consonant,ʂ,ʂ,ʂ,i
0074_i,t,voiceless alveolar stop consonant,t,t,t,i
0074-0255_i,tɕ,voiceless alveolo-palatal sibilant affricate consonant,tɕ,tɕ,t ɕ,i
0074-0255-02b0_i,tɕʰ,aspirated voiceless alveolo-palatal sibilant affricate consonant,tɕʰ,tɕʰ,t ɕ ʰ,i
0074-02b0_i,tʰ,aspirated voiceless alveolar stop consonant,tʰ,tʰ,t ʰ,i
0074-0073_i,ts,voiceless alveolar sibilant affricate consonant,ts,ts,t s,i
0074-0283_i,tʃ,voiceless post-alveolar sibilant affricate consonant,tʃ,tʃ,t ʃ,i
0074-0073-02b0_i,tsʰ,aspirated voiceless alveolar sibilant affricate consonant,tsʰ,tsʰ,t s ʰ,i
0074-0283-02b0_i,tʃʰ,aspirated voiceless post-alveolar sibilant affricate consonant,tʃʰ,tʃʰ,t ʃ ʰ,i
0074-0282_i,tʂ,voiceless retroflex sibilant affricate consonant,ʈʂ,ʈʂ,ʈ ʂ,i
0074-0282-02b0_i,tʂʰ,aspirated voiceless retroflex sibilant affricate consonant,ʈʂʰ,ʈʂʰ,ʈ ʂ ʰ,i
0288_i,ʈ,voiceless retroflex stop consonant,ʈ,ʈ,ʈ,i
0288-02b0_i,ʈʰ,aspirated voiceless retroflex stop consonant,ʈʰ,ʈʰ,ʈ ʰ,i
0265_i,ɥ,voiced labio-palatal approximant consonant,ɥ,ɥ,ɥ,i
0076_i,v,voiced labio-dental fricative consonant,v,v,v,i
0077_i,w,voiced labio-velar approximant consonant,w,w,w,i
0078_i,x,voiceless velar fricative consonant,x,x,x,i
0078-02b0_i,xʰ,aspirated voiceless velar fricative consonant,xʰ,xʰ,x ʰ,i
007a_i,z,voiced alveolar sibilant fricative consonant,z,z,z,i
0290_i,ʐ,voiced retroflex sibilant fricative consonant,ʐ,ʐ,ʐ,i
0294_i,ʔ,voiceless glottal stop consonant,ʔ,ʔ,ʔ,i
03c7_i,χ,voiceless uvular fricative consonant,χ,χ,χ,i
0032-0031_t,21,falling from-mid-low to-low tone,²¹,²¹,² ¹,t
0033-0031_t,31,falling from-mid to-low tone,³¹,³¹,³ ¹,t
0033-0032_t,32,falling from-mid to-mid-low tone,³²,³²,³ ²,t
0033-0033_t,33,flat from-mid to-mid tone,³³,³³,³ ³,t
0033-0035_t,35,rising from-mid to-high tone,³⁵,³⁵,³ ⁵,t
0034-0032_t,42,falling from-mid-high to-mid-low tone,⁴²,⁴²,⁴ ²,t
0034-0034_t,44,flat from-mid-high to-mid-high tone,⁴⁴,⁴⁴,⁴ ⁴,t
0035-0032_t,52,falling from-high to-mid-low tone,⁵²,⁵²,⁵ ²,t
0035-0035_t,55,flat from-high to-high tone,⁵⁵,⁵⁵,⁵ ⁵,t
0036-0036_t,66,flat from-high to-high tone,<NA>,<NA>,⁶ ⁶ / ⁵ ⁵,t
0061_n,a,unrounded open front vowel,a,a,a,n
0061-0303_n,ã,nasalized unrounded open front vowel,ã,ã,a ̃,n
00e6_n,æ,unrounded near-open front vowel,æ,æ,æ,n
00e6-0303_n,æ̃,nasalized unrounded near-open front vowel,æ̃,æ̃,æ ̃,n
0065_n,e,unrounded close-mid front vowel,e,e,e,n
0065-0303_n,ẽ,nasalized unrounded close-mid front vowel,ẽ,ẽ,e ̃,n
025b_n,ɛ,unrounded open-mid front vowel,ɛ,ɛ,ɛ,n
025b-0303_n,ɛ̃,nasalized unrounded open-mid front vowel,ɛ̃,ɛ̃,ɛ ̃,n
0069_n,i,unrounded close front vowel,i,i,i,n
027f_n,ɿ,unrounded close with-friction back vowel,ɿ,ɿ,ɿ,n
0069-0303_n,ĩ,nasalized unrounded close front vowel,ĩ,ĩ,i ̃,n
006f_n,o,rounded close-mid back vowel,o,o,o,n
006f-0303_n,õ,nasalized rounded close-mid back vowel,õ,õ,o ̃,n
0254_n,ɔ,rounded open-mid back vowel,ɔ,ɔ,ɔ,n
0254-0303_n,ɔ̃,nasalized rounded open-mid back vowel,ɔ̃,ɔ̃,ɔ ̃,n
0075_n,u,rounded close back vowel,u,u,u,n
0075-0303_n,ũ,nasalized rounded close back vowel,ũ,ũ,u ̃,n
026f_n,ɯ,unrounded close back vowel,ɯ,ɯ,ɯ,n
026f-0303_n,ɯ̃,nasalized unrounded close back vowel,ɯ̃,ɯ̃,ɯ ̃,n
028a_n,ʊ,rounded near-close near-back vowel,ʊ,ʊ,ʊ,n
028a-0303_n,ʊ̃,nasalized rounded near-close near-back vowel,ʊ̃,ʊ̃,ʊ ̃,n
0076-0329_n,v̩,rounded close with-friction back vowel,v̩,v̩,ʮ,n
0076-0329-0303_n,ṽ̩,nasalized rounded close with-friction back vowel,ṽ̩,ṽ̩,ʮ ̃,n
0079_n,y,rounded close front vowel,y,y,y,n
0079-0303_n,ỹ,nasalized rounded close front vowel,ỹ,ỹ,y ̃,n
