ID,Language_ID,Parameter_ID,Value,Code_ID,Comment,Source,Allophone,Context
Yunlong_0061-0069_n,Yunlong,0061-0069_n,ai,,,Allen2007,,(Chinese borrowings only)
Lanping_0061-006f_n,Lanping,0061-006f_n,ao,,,Allen2007,,
Luobenzhuo_0061-006f_n,Luobenzhuo,0061-006f_n,ao,,,Allen2007,,
Yunlong_0061-006f_n,Yunlong,0061-006f_n,ao,,,Allen2007,,
Lanping_0061-0303-006f_n,Lanping,0061-0303-006f_n,ão,,,Allen2007,,
Luobenzhuo_0061-0303-006f_n,Luobenzhuo,0061-0303-006f_n,ão,,,Allen2007,,
Eryuan_0069-0061_m-n,Eryuan,0069-0061_m-n,ia,,,Allen2007,,
Heqing_0069-0061_m-n,Heqing,0069-0061_m-n,ia,,,Allen2007,,
Jianchuan_0069-0061_m-n,Jianchuan,0069-0061_m-n,ia,,,Allen2007,,
Lanping_0069-0061_m-n,Lanping,0069-0061_m-n,ia,,,Allen2007,,
Qiliqiao_0069-0061_m-n,Qiliqiao,0069-0061_m-n,ia,,,Allen2007,,
Xiangyun_0069-0061_m-n,Xiangyun,0069-0061_m-n,ia,,,Allen2007,,
Yunlong_0069-0061_m-n,Yunlong,0069-0061_m-n,ia,,,Allen2007,,
Zhoucheng_0069-0061_m-n,Zhoucheng,0069-0061_m-n,ia,,,Allen2007,,
Heqing_0069-0061-0303_m-n,Heqing,0069-0061-0303_m-n,iã,,,Allen2007,,
Jianchuan_0069-0061-0303_m-n,Jianchuan,0069-0061-0303_m-n,iã,,,Allen2007,,
Lanping_0069-0061-0303_m-n,Lanping,0069-0061-0303_m-n,iã,,,Allen2007,,
Xiangyun_0069-0061-0303_m-n,Xiangyun,0069-0061-0303_m-n,iã,,,Allen2007,,
Eryuan_0069-025b_m-n,Eryuan,0069-025b_m-n,iɛ,,,Allen2007,,
Heqing_0069-025b_m-n,Heqing,0069-025b_m-n,iɛ,,,Allen2007,,
Jianchuan_0069-025b_m-n,Jianchuan,0069-025b_m-n,iɛ,,,Allen2007,,
Lanping_0069-025b_m-n,Lanping,0069-025b_m-n,iɛ,,,Allen2007,,
Luobenzhuo_0069-025b_m-n,Luobenzhuo,0069-025b_m-n,iɛ,,,Allen2007,,
Qiliqiao_0069-025b_m-n,Qiliqiao,0069-025b_m-n,iɛ,,,Allen2007,,
Xiangyun_0069-025b_m-n,Xiangyun,0069-025b_m-n,iɛ,,,Allen2007,,
Yunlong_0069-025b_m-n,Yunlong,0069-025b_m-n,iɛ,,,Allen2007,,
Zhoucheng_0069-025b_m-n,Zhoucheng,0069-025b_m-n,iɛ,,,Allen2007,,
Heqing_0069-025b-0303_m-n,Heqing,0069-025b-0303_m-n,iɛ̃,,,Allen2007,,
Jianchuan_0069-025b-0303_m-n,Jianchuan,0069-025b-0303_m-n,iɛ̃,,,Allen2007,,
Lanping_0069-025b-0303_m-n,Lanping,0069-025b-0303_m-n,iɛ̃,,,Allen2007,,
Luobenzhuo_0069-025b-0303_m-n,Luobenzhuo,0069-025b-0303_m-n,iɛ̃,,,Allen2007,,
Xiangyun_0069-025b-0303_m-n,Xiangyun,0069-025b-0303_m-n,iɛ̃,,,Allen2007,,
Qiliqiao_0069-0254_m-n,Qiliqiao,0069-0254_m-n,iɔ,,,Allen2007,,
Xiangyun_0069-0254_m-n,Xiangyun,0069-0254_m-n,iɔ,,,Allen2007,,
Yunlong_0069-0254_m-n,Yunlong,0069-0254_m-n,iɔ,,,Allen2007,,
Zhoucheng_0069-0254_m-n,Zhoucheng,0069-0254_m-n,iɔ,,,Allen2007,,
Xiangyun_0069-0254-0303_m-n,Xiangyun,0069-0254-0303_m-n,iɔ̃,,,Allen2007,,
Jianchuan_0069-026f_m-n,Jianchuan,0069-026f_m-n,iɯ,,,Allen2007,,
Lanping_0069-026f_m-n,Lanping,0069-026f_m-n,iɯ,,,Allen2007,,
Jianchuan_0069-026f-0303_m-n,Jianchuan,0069-026f-0303_m-n,iɯ̃,,,Allen2007,,
Lanping_0069-026f-0303_m-n,Lanping,0069-026f-0303_m-n,iɯ̃,,,Allen2007,,
Heqing_006f-0075_n,Heqing,006f-0075_n,ou,,,Allen2007,,
Jianchuan_006f-0075_n,Jianchuan,006f-0075_n,ou,,,Allen2007,,
Xiangyun_006f-0075_n,Xiangyun,006f-0075_n,ou,,,Allen2007,,
Heqing_006f-0303-0075_n,Heqing,006f-0303-0075_n,õu,,,Allen2007,,
Jianchuan_006f-0303-0075_n,Jianchuan,006f-0303-0075_n,õu,,,Allen2007,,
Xiangyun_006f-0303-0075_n,Xiangyun,006f-0303-0075_n,õu,,,Allen2007,,
Heqing_0254-0075_n,Heqing,0254-0075_n,ɔu,,,Allen2007,,
Heqing_0254-0303-0075_n,Heqing,0254-0303-0075_n,ɔ̃u,,,Allen2007,,
Eryuan_0075-0061_m-n,Eryuan,0075-0061_m-n,ua,,,Allen2007,,
Heqing_0075-0061_m-n,Heqing,0075-0061_m-n,ua,,,Allen2007,,
Jianchuan_0075-0061_m-n,Jianchuan,0075-0061_m-n,ua,,,Allen2007,,
Lanping_0075-0061_m-n,Lanping,0075-0061_m-n,ua,,,Allen2007,,
Luobenzhuo_0075-0061_m-n,Luobenzhuo,0075-0061_m-n,ua,,,Allen2007,,
Qiliqiao_0075-0061_m-n,Qiliqiao,0075-0061_m-n,ua,,,Allen2007,,
Xiangyun_0075-0061_m-n,Xiangyun,0075-0061_m-n,ua,,,Allen2007,,
Yunlong_0075-0061_m-n,Yunlong,0075-0061_m-n,ua,,,Allen2007,,
Zhoucheng_0075-0061_m-n,Zhoucheng,0075-0061_m-n,ua,,,Allen2007,,
Heqing_0075-0061-0303_m-n,Heqing,0075-0061-0303_m-n,uã,,,Allen2007,,
Jianchuan_0075-0061-0303_m-n,Jianchuan,0075-0061-0303_m-n,uã,,,Allen2007,,
Lanping_0075-0061-0303_m-n,Lanping,0075-0061-0303_m-n,uã,,,Allen2007,,
Luobenzhuo_0075-0061-0303_m-n,Luobenzhuo,0075-0061-0303_m-n,uã,,,Allen2007,,
Xiangyun_0075-0061-0303_m-n,Xiangyun,0075-0061-0303_m-n,uã,,,Allen2007,,
Eryuan_0075-0065_m-n,Eryuan,0075-0065_m-n,ue,,,Allen2007,,
Heqing_0075-0065_m-n,Heqing,0075-0065_m-n,ue,,,Allen2007,,
Jianchuan_0075-0065_m-n,Jianchuan,0075-0065_m-n,ue,,,Allen2007,,
Lanping_0075-0065_m-n,Lanping,0075-0065_m-n,ue,,,Allen2007,,
Luobenzhuo_0075-0065_m-n,Luobenzhuo,0075-0065_m-n,ue,,,Allen2007,,
Qiliqiao_0075-0065_m-n,Qiliqiao,0075-0065_m-n,ue,,,Allen2007,,
Xiangyun_0075-0065_m-n,Xiangyun,0075-0065_m-n,ue,,,Allen2007,,
Yunlong_0075-0065_m-n,Yunlong,0075-0065_m-n,ue,,,Allen2007,,
Zhoucheng_0075-0065_m-n,Zhoucheng,0075-0065_m-n,ue,,,Allen2007,,
Heqing_0075-0065-0303_m-n,Heqing,0075-0065-0303_m-n,uẽ,,,Allen2007,,
Jianchuan_0075-0065-0303_m-n,Jianchuan,0075-0065-0303_m-n,uẽ,,,Allen2007,,
Lanping_0075-0065-0303_m-n,Lanping,0075-0065-0303_m-n,uẽ,,,Allen2007,,
Luobenzhuo_0075-0065-0303_m-n,Luobenzhuo,0075-0065-0303_m-n,uẽ,,,Allen2007,,
Xiangyun_0075-0065-0303_m-n,Xiangyun,0075-0065-0303_m-n,uẽ,,,Allen2007,,
Eryuan_0075-025b_m-n,Eryuan,0075-025b_m-n,uɛ,,,Allen2007,,
Heqing_0075-025b_m-n,Heqing,0075-025b_m-n,uɛ,,,Allen2007,,
Jianchuan_0075-025b_m-n,Jianchuan,0075-025b_m-n,uɛ,,,Allen2007,,
Lanping_0075-025b_m-n,Lanping,0075-025b_m-n,uɛ,,,Allen2007,,
Luobenzhuo_0075-025b_m-n,Luobenzhuo,0075-025b_m-n,uɛ,,,Allen2007,,
Qiliqiao_0075-025b_m-n,Qiliqiao,0075-025b_m-n,uɛ,,,Allen2007,,
Xiangyun_0075-025b_m-n,Xiangyun,0075-025b_m-n,uɛ,,,Allen2007,,
Yunlong_0075-025b_m-n,Yunlong,0075-025b_m-n,uɛ,,,Allen2007,,
Zhoucheng_0075-025b_m-n,Zhoucheng,0075-025b_m-n,uɛ,,,Allen2007,,
Jianchuan_0075-025b-0303_m-n,Jianchuan,0075-025b-0303_m-n,uɛ̃,,,Allen2007,,
Lanping_0075-025b-0303_m-n,Lanping,0075-025b-0303_m-n,uɛ̃,,,Allen2007,,
Luobenzhuo_0075-025b-0303_m-n,Luobenzhuo,0075-025b-0303_m-n,uɛ̃,,,Allen2007,,
Xiangyun_0075-025b-0303_m-n,Xiangyun,0075-025b-0303_m-n,uɛ̃,,,Allen2007,,
Heqing_0075-0254_m-n,Heqing,0075-0254_m-n,uɔ,,,Allen2007,,
Lanping_0075-0254_m-n,Lanping,0075-0254_m-n,uɔ,,,Allen2007,,
Luobenzhuo_0075-0254_m-n,Luobenzhuo,0075-0254_m-n,uɔ,,,Allen2007,,
Qiliqiao_0075-0254_m-n,Qiliqiao,0075-0254_m-n,uɔ,,,Allen2007,,
Xiangyun_0075-0254_m-n,Xiangyun,0075-0254_m-n,uɔ,,,Allen2007,,
Yunlong_0075-0254_m-n,Yunlong,0075-0254_m-n,uɔ,,,Allen2007,,
Zhoucheng_0075-0254_m-n,Zhoucheng,0075-0254_m-n,uɔ,,,Allen2007,,
Heqing_0075-0254-0303_m-n,Heqing,0075-0254-0303_m-n,uɔ̃,,,Allen2007,,
Lanping_0075-0254-0303_m-n,Lanping,0075-0254-0303_m-n,uɔ̃,,,Allen2007,,
Luobenzhuo_0075-0254-0303_m-n,Luobenzhuo,0075-0254-0303_m-n,uɔ̃,,,Allen2007,,
Xiangyun_0075-0254-0303_m-n,Xiangyun,0075-0254-0303_m-n,uɔ̃,,,Allen2007,,
Yunlong_0079-025b_m-n,Yunlong,0079-025b_m-n,yɛ,,,Allen2007,,
Luobenzhuo_0062_i,Luobenzhuo,0062_i,b,,,Allen2007,,
Luobenzhuo_0063_i,Luobenzhuo,0063_i,c,,,Allen2007,,
Luobenzhuo_0063-02b0_i,Luobenzhuo,0063-02b0_i,cʰ,,,Allen2007,,
Eryuan_0255_i,Eryuan,0255_i,ɕ,,,Allen2007,,
Heqing_0255_i,Heqing,0255_i,ɕ,,,Allen2007,,
Jianchuan_0255_i,Jianchuan,0255_i,ɕ,,,Allen2007,,
Lanping_0255_i,Lanping,0255_i,ɕ,,,Allen2007,,
Luobenzhuo_0255_i,Luobenzhuo,0255_i,ɕ,,,Allen2007,,
Qiliqiao_0255_i,Qiliqiao,0255_i,ɕ,,,Allen2007,,
Xiangyun_0255_i,Xiangyun,0255_i,ɕ,,,Allen2007,,
Yunlong_0255_i,Yunlong,0255_i,ɕ,,,Allen2007,,
Zhoucheng_0255_i,Zhoucheng,0255_i,ɕ,,,Allen2007,,
Heqing_0255-02b0_i,Heqing,0255-02b0_i,ɕʰ,,,Allen2007,,
Luobenzhuo_0064_i,Luobenzhuo,0064_i,d,,,Allen2007,,
Yunlong_0064_i,Yunlong,0064_i,d,,,Allen2007,,
Yunlong_0064-007a_i,Yunlong,0064-007a_i,dz,,,Allen2007,,
Luobenzhuo_0064-0290_i,Luobenzhuo,0064-0290_i,dʐ,,,Allen2007,,
Luobenzhuo_0064-0291_i,Luobenzhuo,0064-0291_i,dʑ,,,Allen2007,,
Yunlong_0064-0291_i,Yunlong,0064-0291_i,dʑ,,,Allen2007,,
Luobenzhuo_0256_i,Luobenzhuo,0256_i,ɖ,,,Allen2007,,
Eryuan_0066_i,Eryuan,0066_i,f,,,Allen2007,,
Heqing_0066_i,Heqing,0066_i,f,,,Allen2007,,
Jianchuan_0066_i,Jianchuan,0066_i,f,,,Allen2007,,
Lanping_0066_i,Lanping,0066_i,f,,,Allen2007,,
Luobenzhuo_0066_i,Luobenzhuo,0066_i,f,,,Allen2007,,
Qiliqiao_0066_i,Qiliqiao,0066_i,f,,,Allen2007,,
Xiangyun_0066_i,Xiangyun,0066_i,f,,,Allen2007,,
Yunlong_0066_i,Yunlong,0066_i,f,,,Allen2007,,
Zhoucheng_0066_i,Zhoucheng,0066_i,f,,,Allen2007,,
Luobenzhuo_0067_i,Luobenzhuo,0067_i,g,,,Allen2007,,
Yunlong_0067_i,Yunlong,0067_i,g,,,Allen2007,,
Eryuan_0263_i,Eryuan,0263_i,ɣ,,,Allen2007,,
Jianchuan_0263_i,Jianchuan,0263_i,ɣ,,,Allen2007,,
Lanping_0263_i,Lanping,0263_i,ɣ,,,Allen2007,,
Qiliqiao_0263_i,Qiliqiao,0263_i,ɣ,,,Allen2007,,
Xiangyun_0263_i,Xiangyun,0263_i,ɣ,,,Allen2007,,
Yunlong_0263_i,Yunlong,0263_i,ɣ,,,Allen2007,,
Yunlong_0281_i,Yunlong,0281_i,ʁ,,,Allen2007,,_[ɔ]
Zhoucheng_0263_i,Zhoucheng,0263_i,ɣ,,,Allen2007,,_[ɯ]
Eryuan_006a_i,Eryuan,006a_i,j,,,Allen2007,,
Heqing_006a_i,Heqing,006a_i,j,,,Allen2007,,
Jianchuan_006a_i,Jianchuan,006a_i,j,,,Allen2007,,
Lanping_006a_i,Lanping,006a_i,j,,,Allen2007,,
Lanping_029d_i,Lanping,029d_i,ʝ,,,Allen2007,,_[i]
Luobenzhuo_006a_i,Luobenzhuo,006a_i,j,,,Allen2007,,
Qiliqiao_006a_i,Qiliqiao,006a_i,j,,,Allen2007,,
Xiangyun_006a_i,Xiangyun,006a_i,j,,,Allen2007,,
Yunlong_006a_i,Yunlong,006a_i,j,,,Allen2007,,
Zhoucheng_006a_i,Zhoucheng,006a_i,j,,,Allen2007,,
Eryuan_006b_i,Eryuan,006b_i,k,,,Allen2007,,
Eryuan_006b-02b2_i,Eryuan,006b-02b2_i,kʲ,,,Allen2007,,[i e ɛ]_
Heqing_006b_i,Heqing,006b_i,k,,,Allen2007,,
Jianchuan_006b_i,Jianchuan,006b_i,k,,,Allen2007,,
Lanping_006b_i,Lanping,006b_i,k,,,Allen2007,,
Luobenzhuo_006b_i,Luobenzhuo,006b_i,k,,,Allen2007,,
Qiliqiao_006b_i,Qiliqiao,006b_i,k,,,Allen2007,,
Xiangyun_006b_i,Xiangyun,006b_i,k,,,Allen2007,,
Xiangyun_006b-02b2_i,Xiangyun,006b-02b2_i,kʲ,,,Allen2007,,_[i e ɛ]
Yunlong_006b_i,Yunlong,006b_i,k,,,Allen2007,,
Zhoucheng_006b_i,Zhoucheng,006b_i,k,,,Allen2007,,
Zhoucheng_006b-02b2_i,Zhoucheng,006b-02b2_i,kʲ,,,Allen2007,,_[i]
Eryuan_006b-02b0_i,Eryuan,006b-02b0_i,kʰ,,,Allen2007,,
Eryuan_006b-02b2-02b0_i,Eryuan,006b-02b2-02b0_i,kʲʰ,,,Allen2007,,_[i e ɛ]
Heqing_006b-02b0_i,Heqing,006b-02b0_i,kʰ,,,Allen2007,,
Jianchuan_006b-02b0_i,Jianchuan,006b-02b0_i,kʰ,,,Allen2007,,
Lanping_006b-02b0_i,Lanping,006b-02b0_i,kʰ,,,Allen2007,,
Luobenzhuo_006b-02b0_i,Luobenzhuo,006b-02b0_i,kʰ,,,Allen2007,,
Qiliqiao_006b-02b0_i,Qiliqiao,006b-02b0_i,kʰ,,,Allen2007,,
Xiangyun_006b-02b0_i,Xiangyun,006b-02b0_i,kʰ,,,Allen2007,,
Yunlong_006b-02b0_i,Yunlong,006b-02b0_i,kʰ,,,Allen2007,,
Zhoucheng_006b-02b0_i,Zhoucheng,006b-02b0_i,kʰ,,,Allen2007,,
Eryuan_006c_i,Eryuan,006c_i,l,,,Allen2007,,
Heqing_006c_i,Heqing,006c_i,l,,,Allen2007,,
Jianchuan_006c_i,Jianchuan,006c_i,l,,,Allen2007,,
Lanping_006c_i,Lanping,006c_i,l,,,Allen2007,,
Luobenzhuo_006c_i,Luobenzhuo,006c_i,l,,,Allen2007,,
Qiliqiao_006c_i,Qiliqiao,006c_i,l,,,Allen2007,,
Xiangyun_006c_i,Xiangyun,006c_i,l,,,Allen2007,,
Yunlong_006c_i,Yunlong,006c_i,l,,,Allen2007,,
Zhoucheng_006c_i,Zhoucheng,006c_i,l,,,Allen2007,,
Eryuan_006d_i,Eryuan,006d_i,m,,,Allen2007,,
Heqing_006d_i,Heqing,006d_i,m,,,Allen2007,,
Jianchuan_006d_i,Jianchuan,006d_i,m,,,Allen2007,,
Lanping_006d_i,Lanping,006d_i,m,,,Allen2007,,
Luobenzhuo_006d_i,Luobenzhuo,006d_i,m,,,Allen2007,,
Qiliqiao_006d_i,Qiliqiao,006d_i,m,,,Allen2007,,
Xiangyun_006d_i,Xiangyun,006d_i,m,,,Allen2007,,
Yunlong_006d_i,Yunlong,006d_i,m,,,Allen2007,,
Zhoucheng_006d_i,Zhoucheng,006d_i,m,,,Allen2007,,
Eryuan_006e_i,Eryuan,006e_i,n,,,Allen2007,,
Heqing_006e_i,Heqing,006e_i,n,,,Allen2007,,
Jianchuan_006e_i,Jianchuan,006e_i,n,,,Allen2007,,
Lanping_006e_i,Lanping,006e_i,n,,,Allen2007,,
Luobenzhuo_006e_i,Luobenzhuo,006e_i,n,,,Allen2007,,
Qiliqiao_006e_i,Qiliqiao,006e_i,n,,,Allen2007,,
Qiliqiao_0235_i,Qiliqiao,0235_i,ȵ,,,Allen2007,,_[i]
Xiangyun_006e_i,Xiangyun,006e_i,n,,,Allen2007,,
Yunlong_006e_i,Yunlong,006e_i,n,,,Allen2007,,
Zhoucheng_006e_i,Zhoucheng,006e_i,n,,,Allen2007,,
Luobenzhuo_0274_i,Luobenzhuo,0274_i,ɴ,,,Allen2007,,
Luobenzhuo_0274-0325_i,Luobenzhuo,0274-0325_i,ɴ̥,,,Allen2007,,
Eryuan_0235_i,Eryuan,0235_i,ȵ,,,Allen2007,,
Luobenzhuo_0235_i,Luobenzhuo,0235_i,ȵ,,,Allen2007,,
Yunlong_0235_i,Yunlong,0235_i,ȵ,,,Allen2007,,
Zhoucheng_0235_i,Zhoucheng,0235_i,ȵ,,,Allen2007,,
Eryuan_014b_i,Eryuan,014b_i,ŋ,,,Allen2007,,
Heqing_014b_i,Heqing,014b_i,ŋ,,,Allen2007,,
Jianchuan_014b_i,Jianchuan,014b_i,ŋ,,,Allen2007,,
Lanping_014b_i,Lanping,014b_i,ŋ,,,Allen2007,,
Luobenzhuo_014b_i,Luobenzhuo,014b_i,ŋ,,,Allen2007,,
Qiliqiao_014b_i,Qiliqiao,014b_i,ŋ,,,Allen2007,,
Xiangyun_014b_i,Xiangyun,014b_i,ŋ,,,Allen2007,,
Yunlong_014b_i,Yunlong,014b_i,ŋ,,,Allen2007,,
Zhoucheng_014b_i,Zhoucheng,014b_i,ŋ,,,Allen2007,,
Eryuan_0070_i,Eryuan,0070_i,p,,,Allen2007,,
Heqing_0070_i,Heqing,0070_i,p,,,Allen2007,,
Jianchuan_0070_i,Jianchuan,0070_i,p,,,Allen2007,,
Lanping_0070_i,Lanping,0070_i,p,,,Allen2007,,
Luobenzhuo_0070_i,Luobenzhuo,0070_i,p,,,Allen2007,,
Qiliqiao_0070_i,Qiliqiao,0070_i,p,,,Allen2007,,
Xiangyun_0070_i,Xiangyun,0070_i,p,,,Allen2007,,
Yunlong_0070_i,Yunlong,0070_i,p,,,Allen2007,,
Zhoucheng_0070_i,Zhoucheng,0070_i,p,,,Allen2007,,
Eryuan_0070-02b0_i,Eryuan,0070-02b0_i,pʰ,,,Allen2007,,
Heqing_0070-02b0_i,Heqing,0070-02b0_i,pʰ,,,Allen2007,,
Jianchuan_0070-02b0_i,Jianchuan,0070-02b0_i,pʰ,,,Allen2007,,
Lanping_0070-02b0_i,Lanping,0070-02b0_i,pʰ,,,Allen2007,,
Luobenzhuo_0070-02b0_i,Luobenzhuo,0070-02b0_i,pʰ,,,Allen2007,,
Qiliqiao_0070-02b0_i,Qiliqiao,0070-02b0_i,pʰ,,,Allen2007,,
Xiangyun_0070-02b0_i,Xiangyun,0070-02b0_i,pʰ,,,Allen2007,,
Yunlong_0070-02b0_i,Yunlong,0070-02b0_i,pʰ,,,Allen2007,,
Zhoucheng_0070-02b0_i,Zhoucheng,0070-02b0_i,pʰ,,,Allen2007,,
Luobenzhuo_0071_i,Luobenzhuo,0071_i,q,,,Allen2007,,
Luobenzhuo_0071-02b0_i,Luobenzhuo,0071-02b0_i,qʰ,,,Allen2007,,
Eryuan_0073_i,Eryuan,0073_i,s,,,Allen2007,,
Heqing_0073_i,Heqing,0073_i,s,,,Allen2007,,
Jianchuan_0073_i,Jianchuan,0073_i,s,,,Allen2007,,
Lanping_0073_i,Lanping,0073_i,s,,,Allen2007,,
Luobenzhuo_0073_i,Luobenzhuo,0073_i,s,,,Allen2007,,
Qiliqiao_0073_i,Qiliqiao,0073_i,s,,,Allen2007,,
Qiliqiao_0283_i,Qiliqiao,0283_i,ʃ,,,Allen2007,,_[u]
Xiangyun_0073_i,Xiangyun,0073_i,s,,,Allen2007,,
Yunlong_0073_i,Yunlong,0073_i,s,,,Allen2007,,
Zhoucheng_0073_i,Zhoucheng,0073_i,s,,,Allen2007,,
Heqing_0073-02b0_i,Heqing,0073-02b0_i,sʰ,,,Allen2007,,
Eryuan_0282_i,Eryuan,0282_i,ʂ,,,Allen2007,,
Luobenzhuo_0282_i,Luobenzhuo,0282_i,ʂ,,,Allen2007,,
Eryuan_0074_i,Eryuan,0074_i,t,,,Allen2007,,
Heqing_0074_i,Heqing,0074_i,t,,,Allen2007,,
Jianchuan_0074_i,Jianchuan,0074_i,t,,,Allen2007,,
Lanping_0074_i,Lanping,0074_i,t,,,Allen2007,,
Luobenzhuo_0074_i,Luobenzhuo,0074_i,t,,,Allen2007,,
Qiliqiao_0074_i,Qiliqiao,0074_i,t,,,Allen2007,,
Xiangyun_0074_i,Xiangyun,0074_i,t,,,Allen2007,,
Yunlong_0074_i,Yunlong,0074_i,t,,,Allen2007,,
Zhoucheng_0074_i,Zhoucheng,0074_i,t,,,Allen2007,,
Eryuan_0074-0255_i,Eryuan,0074-0255_i,tɕ,,,Allen2007,,
Heqing_0074-0255_i,Heqing,0074-0255_i,tɕ,,,Allen2007,,
Jianchuan_0074-0255_i,Jianchuan,0074-0255_i,tɕ,,,Allen2007,,
Lanping_0074-0255_i,Lanping,0074-0255_i,tɕ,,,Allen2007,,
Luobenzhuo_0074-0255_i,Luobenzhuo,0074-0255_i,tɕ,,,Allen2007,,
Qiliqiao_0074-0255_i,Qiliqiao,0074-0255_i,tɕ,,,Allen2007,,
Xiangyun_0074-0255_i,Xiangyun,0074-0255_i,tɕ,,,Allen2007,,
Yunlong_0074-0255_i,Yunlong,0074-0255_i,tɕ,,,Allen2007,,
Zhoucheng_0074-0255_i,Zhoucheng,0074-0255_i,tɕ,,,Allen2007,,
Eryuan_0074-0255-02b0_i,Eryuan,0074-0255-02b0_i,tɕʰ,,,Allen2007,,
Heqing_0074-0255-02b0_i,Heqing,0074-0255-02b0_i,tɕʰ,,,Allen2007,,
Lanping_0074-0255-02b0_i,Lanping,0074-0255-02b0_i,tɕʰ,,,Allen2007,,
Luobenzhuo_0074-0255-02b0_i,Luobenzhuo,0074-0255-02b0_i,tɕʰ,,,Allen2007,,
Qiliqiao_0074-0255-02b0_i,Qiliqiao,0074-0255-02b0_i,tɕʰ,,,Allen2007,,
Xiangyun_0074-0255-02b0_i,Xiangyun,0074-0255-02b0_i,tɕʰ,,,Allen2007,,
Yunlong_0074-0255-02b0_i,Yunlong,0074-0255-02b0_i,tɕʰ,,,Allen2007,,
Zhoucheng_0074-0255-02b0_i,Zhoucheng,0074-0255-02b0_i,tɕʰ,,,Allen2007,,
