ID,Language_ID,Parameter_ID,Value,Code_ID,Comment,Source,Allophone,Context
Eryuan_0074-02b0_i,Eryuan,0074-02b0_i,tʰ,,,Allen2007,,
Heqing_0074-02b0_i,Heqing,0074-02b0_i,tʰ,,,Allen2007,,
Jianchuan_0074-02b0_i,Jianchuan,0074-02b0_i,tʰ,,,Allen2007,,
Lanping_0074-02b0_i,Lanping,0074-02b0_i,tʰ,,,Allen2007,,
Luobenzhuo_0074-02b0_i,Luobenzhuo,0074-02b0_i,tʰ,,,Allen2007,,
Qiliqiao_0074-02b0_i,Qiliqiao,0074-02b0_i,tʰ,,,Allen2007,,
Xiangyun_0074-02b0_i,Xiangyun,0074-02b0_i,tʰ,,,Allen2007,,
Yunlong_0074-02b0_i,Yunlong,0074-02b0_i,tʰ,,,Allen2007,,
Zhoucheng_0074-02b0_i,Zhoucheng,0074-02b0_i,tʰ,,,Allen2007,,
Eryuan_0074-0073_i,Eryuan,0074-0073_i,ts,,,Allen2007,,
Heqing_0074-0073_i,Heqing,0074-0073_i,ts,,,Allen2007,,
Jianchuan_0074-0073_i,Jianchuan,0074-0073_i,ts,,,Allen2007,,
Lanping_0074-0073_i,Lanping,0074-0073_i,ts,,,Allen2007,,
Luobenzhuo_0074-0073_i,Luobenzhuo,0074-0073_i,ts,,,Allen2007,,
Qiliqiao_0074-0073_i,Qiliqiao,0074-0073_i,ts,,,Allen2007,,
Qiliqiao_0074-0283_i,Qiliqiao,0074-0283_i,tʃ,,,Allen2007,,_[u]
Xiangyun_0074-0073_i,Xiangyun,0074-0073_i,ts,,,Allen2007,,
Yunlong_0074-0073_i,Yunlong,0074-0073_i,ts,,,Allen2007,,
Zhoucheng_0074-0073_i,Zhoucheng,0074-0073_i,ts,,,Allen2007,,
Eryuan_0074-0073-02b0_i,Eryuan,0074-0073-02b0_i,tsʰ,,,Allen2007,,
Heqing_0074-0073-02b0_i,Heqing,0074-0073-02b0_i,tsʰ,,,Allen2007,,
Jianchuan_0074-0073-02b0_i,Jianchuan,0074-0073-02b0_i,tsʰ,,,Allen2007,,
Lanping_0074-0073-02b0_i,Lanping,0074-0073-02b0_i,tsʰ,,,Allen2007,,
Luobenzhuo_0074-0073-02b0_i,Luobenzhuo,0074-0073-02b0_i,tsʰ,,,Allen2007,,
Qiliqiao_0074-0073-02b0_i,Qiliqiao,0074-0073-02b0_i,tsʰ,,,Allen2007,,
Qiliqiao_0074-0283-02b0_i,Qiliqiao,0074-0283-02b0_i,tʃʰ,,,Allen2007,,_[u]
Xiangyun_0074-0073-02b0_i,Xiangyun,0074-0073-02b0_i,tsʰ,,,Allen2007,,
Yunlong_0074-0073-02b0_i,Yunlong,0074-0073-02b0_i,tsʰ,,,Allen2007,,
Zhoucheng_0074-0073-02b0_i,Zhoucheng,0074-0073-02b0_i,tsʰ,,,Allen2007,,
Eryuan_0074-0282_i,Eryuan,0074-0282_i,tʂ,,,Allen2007,,
Luobenzhuo_0074-0282_i,Luobenzhuo,0074-0282_i,tʂ,,,Allen2007,,
Luobenzhuo_0074-0283_i,Luobenzhuo,0074-0283_i,tʃ,,,Allen2007,,_[u]
Eryuan_0074-0282-02b0_i,Eryuan,0074-0282-02b0_i,tʂʰ,,,Allen2007,,
Luobenzhuo_0074-0282-02b0_i,Luobenzhuo,0074-0282-02b0_i,tʂʰ,,,Allen2007,,
Luobenzhuo_0074-0283-02b0_i,Luobenzhuo,0074-0283-02b0_i,tʃʰ,,,Allen2007,,_[u]
Luobenzhuo_0288_i,Luobenzhuo,0288_i,ʈ,,,Allen2007,,
Luobenzhuo_0288-02b0_i,Luobenzhuo,0288-02b0_i,ʈʰ,,,Allen2007,,
Yunlong_0265_i,Yunlong,0265_i,ɥ,,,Allen2007,,
Eryuan_0076_i,Eryuan,0076_i,v,,,Allen2007,,
Heqing_0076_i,Heqing,0076_i,v,,,Allen2007,,
Jianchuan_0076_i,Jianchuan,0076_i,v,,,Allen2007,,
Lanping_0076_i,Lanping,0076_i,v,,,Allen2007,,
Luobenzhuo_0076_i,Luobenzhuo,0076_i,v,,,Allen2007,,
Qiliqiao_0076_i,Qiliqiao,0076_i,v,,,Allen2007,,
Yunlong_0076_i,Yunlong,0076_i,v,,,Allen2007,,
Zhoucheng_0076_i,Zhoucheng,0076_i,v,,,Allen2007,,
Eryuan_0077_i,Eryuan,0077_i,w,,,Allen2007,,
Heqing_0077_i,Heqing,0077_i,w,,,Allen2007,,
Jianchuan_0077_i,Jianchuan,0077_i,w,,,Allen2007,,
Lanping_0077_i,Lanping,0077_i,w,,,Allen2007,,
Luobenzhuo_0077_i,Luobenzhuo,0077_i,w,,,Allen2007,,
Qiliqiao_0077_i,Qiliqiao,0077_i,w,,,Allen2007,,
Xiangyun_0077_i,Xiangyun,0077_i,w,,,Allen2007,,
Yunlong_0077_i,Yunlong,0077_i,w,,,Allen2007,,
Zhoucheng_0077_i,Zhoucheng,0077_i,w,,,Allen2007,,
Eryuan_0078_i,Eryuan,0078_i,x,,,Allen2007,,
Heqing_0078_i,Heqing,0078_i,x,,,Allen2007,,
Lanping_0078_i,Lanping,0078_i,x,,,Allen2007,,
Luobenzhuo_0078_i,Luobenzhuo,0078_i,x,,,Allen2007,,
Qiliqiao_0078_i,Qiliqiao,0078_i,x,,,Allen2007,,
Xiangyun_0078_i,Xiangyun,0078_i,x,,,Allen2007,,
Yunlong_0078_i,Yunlong,0078_i,x,,,Allen2007,,
Zhoucheng_0078_i,Zhoucheng,0078_i,x,,,Allen2007,,
Heqing_0078-02b0_i,Heqing,0078-02b0_i,xʰ,,,Allen2007,,
Eryuan_007a_i,Eryuan,007a_i,z,,,Allen2007,,
Heqing_007a_i,Heqing,007a_i,z,,,Allen2007,,
Luobenzhuo_007a_i,Luobenzhuo,007a_i,z,,,Allen2007,,
Qiliqiao_007a_i,Qiliqiao,007a_i,z,,,Allen2007,,
Xiangyun_007a_i,Xiangyun,007a_i,z,,,Allen2007,,
Yunlong_007a_i,Yunlong,007a_i,z,,,Allen2007,,
Zhoucheng_007a_i,Zhoucheng,007a_i,z,,,Allen2007,,
Eryuan_0290_i,Eryuan,0290_i,ʐ,,,Allen2007,,
Lanping_0290_i,Lanping,0290_i,ʐ,,,Allen2007,,
Luobenzhuo_0290_i,Luobenzhuo,0290_i,ʐ,,,Allen2007,,
Luobenzhuo_0294_i,Luobenzhuo,0294_i,ʔ,,,Allen2007,,
Luobenzhuo_03c7_i,Luobenzhuo,03c7_i,χ,,,Allen2007,,
Eryuan_0032-0031_t,Eryuan,0032-0031_t,21,,,Allen2007,,
Heqing_0032-0031_t,Heqing,0032-0031_t,21,,,Allen2007,,
Jianchuan_0032-0031_t,Jianchuan,0032-0031_t,21,,,Allen2007,,
Lanping_0032-0031_t,Lanping,0032-0031_t,21,,,Allen2007,,
Luobenzhuo_0032-0031_t,Luobenzhuo,0032-0031_t,21,,,Allen2007,,
Qiliqiao_0032-0031_t,Qiliqiao,0032-0031_t,21,,,Allen2007,,
Xiangyun_0032-0031_t,Xiangyun,0032-0031_t,21,,,Allen2007,,
Yunlong_0032-0031_t,Yunlong,0032-0031_t,21,,,Allen2007,,
Zhoucheng_0032-0031_t,Zhoucheng,0032-0031_t,21,,,Allen2007,,
Eryuan_0033-0031_t,Eryuan,0033-0031_t,31,,,Allen2007,,
Heqing_0033-0031_t,Heqing,0033-0031_t,31,,,Allen2007,,
Jianchuan_0033-0031_t,Jianchuan,0033-0031_t,31,,,Allen2007,,
Lanping_0033-0031_t,Lanping,0033-0031_t,31,,,Allen2007,,
Luobenzhuo_0033-0031_t,Luobenzhuo,0033-0031_t,31,,,Allen2007,,
Qiliqiao_0033-0031_t,Qiliqiao,0033-0031_t,31,,,Allen2007,,
Xiangyun_0033-0031_t,Xiangyun,0033-0031_t,31,,,Allen2007,,
Yunlong_0033-0031_t,Yunlong,0033-0031_t,31,,,Allen2007,,
Zhoucheng_0033-0031_t,Zhoucheng,0033-0031_t,31,,,Allen2007,,
Qiliqiao_0033-0032_t,Qiliqiao,0033-0032_t,32,,,Allen2007,,
Zhoucheng_0033-0032_t,Zhoucheng,0033-0032_t,32,,,Allen2007,,
Eryuan_0033-0033_t,Eryuan,0033-0033_t,33,,,Allen2007,,
Heqing_0033-0033_t,Heqing,0033-0033_t,33,,,Allen2007,,
Jianchuan_0033-0033_t,Jianchuan,0033-0033_t,33,,,Allen2007,,
Lanping_0033-0033_t,Lanping,0033-0033_t,33,,,Allen2007,,
Luobenzhuo_0033-0033_t,Luobenzhuo,0033-0033_t,33,,,Allen2007,,
Qiliqiao_0033-0033_t,Qiliqiao,0033-0033_t,33,,,Allen2007,,
Xiangyun_0033-0033_t,Xiangyun,0033-0033_t,33,,,Allen2007,,
Yunlong_0033-0033_t,Yunlong,0033-0033_t,33,,,Allen2007,,
Zhoucheng_0033-0033_t,Zhoucheng,0033-0033_t,33,,,Allen2007,,
Eryuan_0033-0035_t,Eryuan,0033-0035_t,35,,,Allen2007,,
Heqing_0033-0035_t,Heqing,0033-0035_t,35,,,Allen2007,,
Jianchuan_0033-0035_t,Jianchuan,0033-0035_t,35,,,Allen2007,,
Lanping_0033-0035_t,Lanping,0033-0035_t,35,,,Allen2007,,
Luobenzhuo_0033-0035_t,Luobenzhuo,0033-0035_t,35,,,Allen2007,,
Qiliqiao_0033-0035_t,Qiliqiao,0033-0035_t,35,,,Allen2007,,
Xiangyun_0033-0035_t,Xiangyun,0033-0035_t,35,,,Allen2007,,
Yunlong_0033-0035_t,Yunlong,0033-0035_t,35,,,Allen2007,,
Zhoucheng_0033-0035_t,Zhoucheng,0033-0035_t,35,,,Allen2007,,
Eryuan_0034-0032_t,Eryuan,0034-0032_t,42,,,Allen2007,,
Heqing_0034-0032_t,Heqing,0034-0032_t,42,,,Allen2007,,
Jianchuan_0034-0032_t,Jianchuan,0034-0032_t,42,,,Allen2007,,
Lanping_0034-0032_t,Lanping,0034-0032_t,42,,,Allen2007,,
Luobenzhuo_0034-0032_t,Luobenzhuo,0034-0032_t,42,,,Allen2007,,
Qiliqiao_0034-0032_t,Qiliqiao,0034-0032_t,42,,,Allen2007,,
Xiangyun_0034-0032_t,Xiangyun,0034-0032_t,42,,,Allen2007,,
Yunlong_0034-0032_t,Yunlong,0034-0032_t,42,,,Allen2007,,
Eryuan_0034-0034_t,Eryuan,0034-0034_t,44,,,Allen2007,,
Heqing_0034-0034_t,Heqing,0034-0034_t,44,,,Allen2007,,
Jianchuan_0034-0034_t,Jianchuan,0034-0034_t,44,,,Allen2007,,
Lanping_0034-0034_t,Lanping,0034-0034_t,44,,,Allen2007,,
Luobenzhuo_0034-0034_t,Luobenzhuo,0034-0034_t,44,,,Allen2007,,
Qiliqiao_0034-0034_t,Qiliqiao,0034-0034_t,44,,,Allen2007,,
Xiangyun_0034-0034_t,Xiangyun,0034-0034_t,44,,,Allen2007,,
Yunlong_0034-0034_t,Yunlong,0034-0034_t,44,,,Allen2007,,
Zhoucheng_0034-0034_t,Zhoucheng,0034-0034_t,44,,,Allen2007,,
Zhoucheng_0035-0032_t,Zhoucheng,0035-0032_t,52,,,Allen2007,,
Eryuan_0035-0035_t,Eryuan,0035-0035_t,55,,,Allen2007,,
Heqing_0035-0035_t,Heqing,0035-0035_t,55,,,Allen2007,,
Jianchuan_0035-0035_t,Jianchuan,0035-0035_t,55,,,Allen2007,,
Lanping_0035-0035_t,Lanping,0035-0035_t,55,,,Allen2007,,
Luobenzhuo_0035-0035_t,Luobenzhuo,0035-0035_t,55,,,Allen2007,,
Qiliqiao_0035-0035_t,Qiliqiao,0035-0035_t,55,,,Allen2007,,
Xiangyun_0035-0035_t,Xiangyun,0035-0035_t,55,,,Allen2007,,
Yunlong_0035-0035_t,Yunlong,0035-0035_t,55,,,Allen2007,,
Zhoucheng_0035-0035_t,Zhoucheng,0035-0035_t,55,,,Allen2007,,
Jianchuan_0036-0036_t,Jianchuan,0036-0036_t,66,,,Allen2007,,(only in modern loans)
Eryuan_0061_n,Eryuan,0061_n,a,,,Allen2007,,
Heqing_0061_n,Heqing,0061_n,a,,,Allen2007,,
Jianchuan_0061_n,Jianchuan,0061_n,a,,,Allen2007,,
Lanping_0061_n,Lanping,0061_n,a,,,Allen2007,,
Luobenzhuo_0061_n,Luobenzhuo,0061_n,a,,,Allen2007,,
Qiliqiao_0061_n,Qiliqiao,0061_n,a,,,Allen2007,,
Xiangyun_0061_n,Xiangyun,0061_n,a,,,Allen2007,,
Yunlong_0061_n,Yunlong,0061_n,a,,,Allen2007,,
Zhoucheng_0061_n,Zhoucheng,0061_n,a,,,Allen2007,,
Heqing_0061-0303_n,Heqing,0061-0303_n,ã,,,Allen2007,,
Jianchuan_0061-0303_n,Jianchuan,0061-0303_n,ã,,,Allen2007,,
Lanping_0061-0303_n,Lanping,0061-0303_n,ã,,,Allen2007,,
Luobenzhuo_0061-0303_n,Luobenzhuo,0061-0303_n,ã,,,Allen2007,,
Xiangyun_0061-0303_n,Xiangyun,0061-0303_n,ã,,,Allen2007,,
Luobenzhuo_00e6_n,Luobenzhuo,00e6_n,æ,,,Allen2007,,
Luobenzhuo_00e6-0303_n,Luobenzhuo,00e6-0303_n,æ̃,,,Allen2007,,
Eryuan_0065_n,Eryuan,0065_n,e,,,Allen2007,,
Heqing_0065_n,Heqing,0065_n,e,,,Allen2007,,
Jianchuan_0065_n,Jianchuan,0065_n,e,,,Allen2007,,
Lanping_0065_n,Lanping,0065_n,e,,,Allen2007,,
Luobenzhuo_0065_n,Luobenzhuo,0065_n,e,,,Allen2007,,
Qiliqiao_0065_n,Qiliqiao,0065_n,e,,,Allen2007,,
Xiangyun_0065_n,Xiangyun,0065_n,e,,,Allen2007,,
Yunlong_0065_n,Yunlong,0065_n,e,,,Allen2007,,
Zhoucheng_0065_n,Zhoucheng,0065_n,e,,,Allen2007,,
Heqing_0065-0303_n,Heqing,0065-0303_n,ẽ,,,Allen2007,,
Jianchuan_0065-0303_n,Jianchuan,0065-0303_n,ẽ,,,Allen2007,,
Lanping_0065-0303_n,Lanping,0065-0303_n,ẽ,,,Allen2007,,
Luobenzhuo_0065-0303_n,Luobenzhuo,0065-0303_n,ẽ,,,Allen2007,,
Xiangyun_0065-0303_n,Xiangyun,0065-0303_n,ẽ,,,Allen2007,,
Eryuan_025b_n,Eryuan,025b_n,ɛ,,,Allen2007,,
Heqing_025b_n,Heqing,025b_n,ɛ,,,Allen2007,,
Jianchuan_025b_n,Jianchuan,025b_n,ɛ,,,Allen2007,,
Lanping_025b_n,Lanping,025b_n,ɛ,,,Allen2007,,
Luobenzhuo_025b_n,Luobenzhuo,025b_n,ɛ,,,Allen2007,,
Qiliqiao_025b_n,Qiliqiao,025b_n,ɛ,,,Allen2007,,
Xiangyun_025b_n,Xiangyun,025b_n,ɛ,,,Allen2007,,
Yunlong_025b_n,Yunlong,025b_n,ɛ,,,Allen2007,,
Zhoucheng_025b_n,Zhoucheng,025b_n,ɛ,,,Allen2007,,
Heqing_025b-0303_n,Heqing,025b-0303_n,ɛ̃,,,Allen2007,,
Jianchuan_025b-0303_n,Jianchuan,025b-0303_n,ɛ̃,,,Allen2007,,
Lanping_025b-0303_n,Lanping,025b-0303_n,ɛ̃,,,Allen2007,,
Luobenzhuo_025b-0303_n,Luobenzhuo,025b-0303_n,ɛ̃,,,Allen2007,,
Xiangyun_025b-0303_n,Xiangyun,025b-0303_n,ɛ̃,,,Allen2007,,
Eryuan_0069_n,Eryuan,0069_n,i,,,Allen2007,,
Heqing_0069_n,Heqing,0069_n,i,,,Allen2007,,
Jianchuan_0069_n,Jianchuan,0069_n,i,,,Allen2007,,
Eryuan_027f_n,Eryuan,027f_n,ɿ,,,Allen2007,,"[s,z,ts,tsʰ]_"
Heqing_027f_n,Heqing,027f_n,ɿ,,,Allen2007,,[s sʰ z ts tsʰ]_
Jianchuan_027f_n,Jianchuan,027f_n,ɿ,,,Allen2007,,[s ts tsʰ]_
Lanping_0069_n,Lanping,0069_n,i,,,Allen2007,,
Luobenzhuo_0069_n,Luobenzhuo,0069_n,i,,,Allen2007,,
Qiliqiao_0069_n,Qiliqiao,0069_n,i,,,Allen2007,,
Xiangyun_0069_n,Xiangyun,0069_n,i,,,Allen2007,,
Yunlong_0069_n,Yunlong,0069_n,i,,,Allen2007,,
Zhoucheng_0069_n,Zhoucheng,0069_n,i,,,Allen2007,,
Qiliqiao_027f_n,Qiliqiao,027f_n,ɿ,,,Allen2007,,[s z ts tsʰ]_
Xiangyun_027f_n,Xiangyun,027f_n,ɿ,,,Allen2007,,[s z ts tsʰ]_
Yunlong_027f_n,Yunlong,027f_n,ɿ,,,Allen2007,,[s z dz ts tsʰ]_
Zhoucheng_027f_n,Zhoucheng,027f_n,ɿ,,,Allen2007,,[s sʰ z ts tsʰ]_
Heqing_0069-0303_n,Heqing,0069-0303_n,ĩ,,,Allen2007,,
Jianchuan_0069-0303_n,Jianchuan,0069-0303_n,ĩ,,,Allen2007,,
Lanping_0069-0303_n,Lanping,0069-0303_n,ĩ,,,Allen2007,,
Luobenzhuo_0069-0303_n,Luobenzhuo,0069-0303_n,ĩ,,,Allen2007,,
Xiangyun_0069-0303_n,Xiangyun,0069-0303_n,ĩ,,,Allen2007,,
Eryuan_006f_n,Eryuan,006f_n,o,,,Allen2007,,
Heqing_006f_n,Heqing,006f_n,o,,,Allen2007,,
Jianchuan_006f_n,Jianchuan,006f_n,o,,,Allen2007,,
Lanping_006f_n,Lanping,006f_n,o,,,Allen2007,,
Luobenzhuo_006f_n,Luobenzhuo,006f_n,o,,,Allen2007,,
Qiliqiao_006f_n,Qiliqiao,006f_n,o,,,Allen2007,,
Xiangyun_006f_n,Xiangyun,006f_n,o,,,Allen2007,,
Yunlong_006f_n,Yunlong,006f_n,o,,,Allen2007,,
Zhoucheng_006f_n,Zhoucheng,006f_n,o,,,Allen2007,,
Heqing_006f-0303_n,Heqing,006f-0303_n,õ,,,Allen2007,,
Jianchuan_006f-0303_n,Jianchuan,006f-0303_n,õ,,,Allen2007,,
Lanping_006f-0303_n,Lanping,006f-0303_n,õ,,,Allen2007,,
Luobenzhuo_006f-0303_n,Luobenzhuo,006f-0303_n,õ,,,Allen2007,,
Xiangyun_006f-0303_n,Xiangyun,006f-0303_n,õ,,,Allen2007,,
Eryuan_0254_n,Eryuan,0254_n,ɔ,,,Allen2007,,
Heqing_0254_n,Heqing,0254_n,ɔ,,,Allen2007,,
Lanping_0254_n,Lanping,0254_n,ɔ,,,Allen2007,,
Luobenzhuo_0254_n,Luobenzhuo,0254_n,ɔ,,,Allen2007,,
Qiliqiao_0254_n,Qiliqiao,0254_n,ɔ,,,Allen2007,,
Xiangyun_0254_n,Xiangyun,0254_n,ɔ,,,Allen2007,,
Yunlong_0254_n,Yunlong,0254_n,ɔ,,,Allen2007,,
Zhoucheng_0254_n,Zhoucheng,0254_n,ɔ,,,Allen2007,,
Heqing_0254-0303_n,Heqing,0254-0303_n,ɔ̃,,,Allen2007,,
Lanping_0254-0303_n,Lanping,0254-0303_n,ɔ̃,,,Allen2007,,
Luobenzhuo_0254-0303_n,Luobenzhuo,0254-0303_n,ɔ̃,,,Allen2007,,
Xiangyun_0254-0303_n,Xiangyun,0254-0303_n,ɔ̃,,,Allen2007,,
Eryuan_0075_n,Eryuan,0075_n,u,,,Allen2007,,
Heqing_0075_n,Heqing,0075_n,u,,,Allen2007,,[f v]_
Jianchuan_0075_n,Jianchuan,0075_n,u,,,Allen2007,,
Lanping_0075_n,Lanping,0075_n,u,,,Allen2007,,
Luobenzhuo_0075_n,Luobenzhuo,0075_n,u,,,Allen2007,,
Qiliqiao_0075_n,Qiliqiao,0075_n,u,,,Allen2007,,
Xiangyun_0075_n,Xiangyun,0075_n,u,,,Allen2007,,
Yunlong_0075_n,Yunlong,0075_n,u,,,Allen2007,,
Zhoucheng_0075_n,Zhoucheng,0075_n,u,,,Allen2007,,
Heqing_0075-0303_n,Heqing,0075-0303_n,ũ,,,Allen2007,,
Jianchuan_0075-0303_n,Jianchuan,0075-0303_n,ũ,,,Allen2007,,
Lanping_0075-0303_n,Lanping,0075-0303_n,ũ,,,Allen2007,,
Luobenzhuo_0075-0303_n,Luobenzhuo,0075-0303_n,ũ,,,Allen2007,,
Xiangyun_0075-0303_n,Xiangyun,0075-0303_n,ũ,,,Allen2007,,(not found in data)
Eryuan_026f_n,Eryuan,026f_n,ɯ,,,Allen2007,,
Heqing_026f_n,Heqing,026f_n,ɯ,,,Allen2007,,
Jianchuan_026f_n,Jianchuan,026f_n,ɯ,,,Allen2007,,
Lanping_026f_n,Lanping,026f_n,ɯ,,,Allen2007,,
Luobenzhuo_026f_n,Luobenzhuo,026f_n,ɯ,,,Allen2007,,
Qiliqiao_026f_n,Qiliqiao,026f_n,ɯ,,,Allen2007,,
Xiangyun_026f_n,Xiangyun,026f_n,ɯ,,,Allen2007,,
Yunlong_026f_n,Yunlong,026f_n,ɯ,,,Allen2007,,
Zhoucheng_026f_n,Zhoucheng,026f_n,ɯ,,,Allen2007,,
Jianchuan_026f-0303_n,Jianchuan,026f-0303_n,ɯ̃,,,Allen2007,,
Lanping_026f-0303_n,Lanping,026f-0303_n,ɯ̃,,,Allen2007,,
Luobenzhuo_026f-0303_n,Luobenzhuo,026f-0303_n,ɯ̃,,,Allen2007,,
Xiangyun_026f-0303_n,Xiangyun,026f-0303_n,ɯ̃,,,Allen2007,,
Luobenzhuo_028a_n,Luobenzhuo,028a_n,ʊ,,,Allen2007,,
Luobenzhuo_028a-0303_n,Luobenzhuo,028a-0303_n,ʊ̃,,,Allen2007,,
Eryuan_0076-0329_n,Eryuan,0076-0329_n,v̩,,,Allen2007,,
Jianchuan_0076-0329_n,Jianchuan,0076-0329_n,v̩,,,Allen2007,,
Luobenzhuo_0076-0329_n,Luobenzhuo,0076-0329_n,v̩,,,Allen2007,,
Qiliqiao_0076-0329_n,Qiliqiao,0076-0329_n,v̩,,,Allen2007,,
Xiangyun_0076-0329_n,Xiangyun,0076-0329_n,v̩,,,Allen2007,,
Yunlong_0076-0329_n,Yunlong,0076-0329_n,v̩,,,Allen2007,,
Zhoucheng_0076-0329_n,Zhoucheng,0076-0329_n,v̩,,,Allen2007,,
Jianchuan_0076-0329-0303_n,Jianchuan,0076-0329-0303_n,ṽ̩,,,Allen2007,,
Luobenzhuo_0076-0329-0303_n,Luobenzhuo,0076-0329-0303_n,ṽ̩,,,Allen2007,,
Xiangyun_0076-0329-0303_n,Xiangyun,0076-0329-0303_n,ṽ̩,,,Allen2007,,
Eryuan_0079_n,Eryuan,0079_n,y,,,Allen2007,,
Heqing_0079_n,Heqing,0079_n,y,,,Allen2007,,
Jianchuan_0079_n,Jianchuan,0079_n,y,,,Allen2007,,
Lanping_0079_n,Lanping,0079_n,y,,,Allen2007,,
Luobenzhuo_0079_n,Luobenzhuo,0079_n,y,,,Allen2007,,
Qiliqiao_0079_n,Qiliqiao,0079_n,y,,,Allen2007,,
Xiangyun_0079_n,Xiangyun,0079_n,y,,,Allen2007,,
Yunlong_0079_n,Yunlong,0079_n,y,,,Allen2007,,
Zhoucheng_0079_n,Zhoucheng,0079_n,y,,,Allen2007,,[tɕ tɕʰ ȵ j]_
Heqing_0079-0303_n,Heqing,0079-0303_n,ỹ,,,Allen2007,,
Jianchuan_0079-0303_n,Jianchuan,0079-0303_n,ỹ,,,Allen2007,,
Lanping_0079-0303_n,Lanping,0079-0303_n,ỹ,,,Allen2007,,
Luobenzhuo_0079-0303_n,Luobenzhuo,0079-0303_n,ỹ,,,Allen2007,,
Xiangyun_0079-0303_n,Xiangyun,0079-0303_n,ỹ,,,Allen2007,,
